feature_name,feature_family,source_table,raw_columns,business_meaning,stage,earliest_available_at,transformation,fit_required,fold_aware,leakage_risk,model_role,evidence,status,notes
t2_hist_constraint_count_std,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Volatility of strict-prior constraint count,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_current_vs_hist_constraint_delta,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Current request constraint count minus strict-prior mean,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
requested_to_spot_area_ratio,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,requested_area_sqm|candidate spot area,Requested/candidate area ratio,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,SUPPORTED,Matching only.
candidate_area_gap_sqm,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,requested_area_sqm|candidate spot area,Absolute candidate area gap,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,SUPPORTED,Matching only.
candidate_modality_compatible,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,search_modality|spot modality,Need/Spot modality compatibility,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,REQUIRED,Policy/matching.
candidate_sector_compatible,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,search_sector|spot sector,Need/Spot sector compatibility,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,REQUIRED,Policy/matching.
preferred_municipality_match,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,preferred_municipality|spot municipality,Exact preferred municipality match,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,SUPPORTED,Matching.
preferred_corridor_match,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,preferred_corridor|spot corridor,Exact preferred corridor match,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,SUPPORTED,Matching.
geographic_relaxation_level,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,candidate fallback tier,Corridor/municipality/state/override relaxation,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,REQUIRED,Matching/fallback.
physical_space_compatibility,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,requested_area_sqm|spot area,Area-based physical fit flag; no invented amenity preferences,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,SUPPORTED,Only defensible physical compatibility given raw demand fields.
availability_known,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,availability snapshot,Whether backward snapshot exists,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,INVENTORY,P4 ABT_CONTRACT; EDA-07/08,REQUIRED,Inventory.
is_available_asof,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,availability snapshot,Backward-as-of availability state,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,MATCHING,P4 ABT_CONTRACT; EDA-07/08,REQUIRED,Inventory.
snapshot_age_days,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,snapshot_date|score_time,Age of backward Availability snapshot,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,INVENTORY,P4 ABT_CONTRACT; EDA-07/08,REQUIRED,Inventory freshness.
freshness_bucket,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,snapshot_age_days,Deterministic freshness band,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,INVENTORY,P4 ABT_CONTRACT; EDA-07/08,SUPPORTED,Inventory.
inventory_candidate_count,MATCHING_INVENTORY,leads|inquiries|spots|availability_snapshot,candidate universe,PIT candidate depth for score,T0|T1|T2,score_time under P4 as-of/Spot-existence rules,deterministic candidate/inventory transform,false,false,MEDIUM_SEPARATE_BLOCK,INVENTORY,P4 ABT_CONTRACT; EDA-07/08,SUPPORTED,Inventory/fallback.
selected_spot_area_ratio,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_area_gap_sqm,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_modality_compatible,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_sector_compatible,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_preferred_municipality_match,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_preferred_corridor_match,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_availability_known,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_is_available_asof,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_snapshot_age_days,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
selected_spot_physical_attribute_completeness,T1_E_SELECTED_SPOT_CHALLENGER,inventory_candidates observed-current row,safe structural/immutable/as-of selected-Spot context,Explicit selected-Spot challenger only,T1,current inquiry score_time with Spot existence + backward Availability gates,filter observed current candidate and derive safe context,false,false,MEDIUM_CONTEXT_SEPARATION,MATCHING,Ablation E pre-registered,EXPERIMENTAL,Never part of core LeadQuality; only Ablation E.
budget_to_price_compatibility,MATCHING_INVENTORY,spots,unversioned Spot prices + lead/inquiry budget,Budget compatibility to Spot price,T1|T2,NOT HISTORICALLY RECONSTRUCTIBLE,not constructed,false,false,CRITICAL_UNVERSIONED_PRICE,MATCHING,P4 forbidden-feature policy,REJECTED,"Prompt requests conceptually, but frozen temporal contract blocks price fields."
search_need_cluster,CLUSTER_PROFILE,train-fold features,registered profile-specific inputs,Interpretive profile ID,T1|T2,after fold TRAIN fit,fit clusterer on TRAIN only; transform validation,true,true,MEDIUM_FIT_LEAKAGE,AUDIT_ONLY,Historical cluster evidence is hypothesis only,EXPERIMENTAL,Not included in pre-registered T1 ablations; may support segment/matching analysis.
dynamic_need_cluster,CLUSTER_PROFILE,train-fold features,registered profile-specific inputs,Interpretive profile ID,T1|T2,after fold TRAIN fit,fit clusterer on TRAIN only; transform validation,true,true,MEDIUM_FIT_LEAKAGE,AUDIT_ONLY,Historical cluster evidence is hypothesis only,EXPERIMENTAL,Not included in pre-registered T1 ablations; may support segment/matching analysis.
physical_cluster,CLUSTER_PROFILE,train-fold features,registered profile-specific inputs,Interpretive profile ID,T1|T2,after fold TRAIN fit,fit clusterer on TRAIN only; transform validation,true,true,MEDIUM_FIT_LEAKAGE,AUDIT_ONLY,Historical cluster evidence is hypothesis only,EXPERIMENTAL,Not included in pre-registered T1 ablations; may support segment/matching analysis.
location_cluster,CLUSTER_PROFILE,train-fold features,registered profile-specific inputs,Interpretive profile ID,T1|T2,after fold TRAIN fit,fit clusterer on TRAIN only; transform validation,true,true,MEDIUM_FIT_LEAKAGE,AUDIT_ONLY,Historical cluster evidence is hypothesis only,EXPERIMENTAL,Not included in pre-registered T1 ablations; may support segment/matching analysis.
broker_service_cluster,CLUSTER_PROFILE,broker/history,unproven temporally observable broker-service inputs,Broker Service profile,T1|T2,UNPROVEN,not promoted,true,true,HIGH_TEMPORAL,AUDIT_ONLY,Prompt P5-6 Broker Service policy,REJECTED,No clean incremental/temporal proof in AssessmentSol1.
broker_supply_cluster,CLUSTER_PROFILE,historical experiment only,broker supply,Broker Supply profile,T1|T2,FORBIDDEN,not reconstructed,true,true,CRITICAL,FORBIDDEN,Prompt P5-6 explicit prohibition,REJECTED,Do not recover Broker Supply.
inquiry_intent_cluster,CLUSTER_PROFILE,historical experiment only,intent cluster,Inquiry Intent profile,T1|T2,FORBIDDEN,not reconstructed,true,true,HIGH,FORBIDDEN,Prompt P5-6 explicit prohibition,REJECTED,Do not recover Inquiry Intent.
rule_direct_conflict_flag,SEMANTIC_RULES_QA,listing copy + spot attributes,deterministic E017/E018 rules,Semantic/catalog QA sidecar,T1|T2,conditional listing-static assumption only,not added to scoring core,false,false,MEDIUM_UNVERSIONED_COPY,AUDIT_ONLY,E018 conclusion NOT_SUPPORTED; macro ΔLift@10% -0.0716,SUPPORTED,QA_ONLY. E018 failed promotion gate; no CORE+SEMANTIC_RULES ablation is registered.
rule_land_building_copy_flag,SEMANTIC_RULES_QA,listing copy + spot attributes,deterministic E017/E018 rules,Semantic/catalog QA sidecar,T1|T2,conditional listing-static assumption only,not added to scoring core,false,false,MEDIUM_UNVERSIONED_COPY,AUDIT_ONLY,E018 conclusion NOT_SUPPORTED; macro ΔLift@10% -0.0716,SUPPORTED,QA_ONLY. E018 failed promotion gate; no CORE+SEMANTIC_RULES ablation is registered.
rule_security_ambiguity_flag,SEMANTIC_RULES_QA,listing copy + spot attributes,deterministic E017/E018 rules,Semantic/catalog QA sidecar,T1|T2,conditional listing-static assumption only,not added to scoring core,false,false,MEDIUM_UNVERSIONED_COPY,AUDIT_ONLY,E018 conclusion NOT_SUPPORTED; macro ΔLift@10% -0.0716,SUPPORTED,QA_ONLY. E018 failed promotion gate; no CORE+SEMANTIC_RULES ablation is registered.
rule_retail_adaptive_use_flag,SEMANTIC_RULES_QA,listing copy + spot attributes,deterministic E017/E018 rules,Semantic/catalog QA sidecar,T1|T2,conditional listing-static assumption only,not added to scoring core,false,false,MEDIUM_UNVERSIONED_COPY,AUDIT_ONLY,E018 conclusion NOT_SUPPORTED; macro ΔLift@10% -0.0716,SUPPORTED,QA_ONLY. E018 failed promotion gate; no CORE+SEMANTIC_RULES ablation is registered.
rule_semantic_signal_count,SEMANTIC_RULES_QA,listing copy + spot attributes,deterministic E017/E018 rules,Semantic/catalog QA sidecar,T1|T2,conditional listing-static assumption only,not added to scoring core,false,false,MEDIUM_UNVERSIONED_COPY,AUDIT_ONLY,E018 conclusion NOT_SUPPORTED; macro ΔLift@10% -0.0716,SUPPORTED,QA_ONLY. E018 failed promotion gate; no CORE+SEMANTIC_RULES ablation is registered.
rule_semantic_review_tier,SEMANTIC_RULES_QA,listing copy + spot attributes,deterministic E017/E018 rules,Semantic/catalog QA sidecar,T1|T2,conditional listing-static assumption only,not added to scoring core,false,false,MEDIUM_UNVERSIONED_COPY,AUDIT_ONLY,E018 conclusion NOT_SUPPORTED; macro ΔLift@10% -0.0716,SUPPORTED,QA_ONLY. E018 failed promotion gate; no CORE+SEMANTIC_RULES ablation is registered.
llm_*,LLM,none,LLM outputs,Any LLM-generated feature,T0|T1|T2,NOT AUTHORIZED,not constructed,true,true,CRITICAL,FORBIDDEN,Prompt P5-6,REJECTED,No llm_* ABT feature in current assessment.
